car_name, model, km/l,  odometer, km, litres, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Geely Coolray","Geely Coolray",6.56,24095.0,138.001,21.024,60.45,,2025-02-09,2025-02-09 13:01:49,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.75,23957.0,123.002,21.399,59.35,,2025-02-02,2025-02-02 10:35:48,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,23834.0,155.994,22.989,62.5,,2025-01-26,2025-01-26 14:05:12,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.67,23678.0,116.002,20.468,61.3,,2025-01-20,2025-01-20 07:45:39,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,23562.0,191.995,28.296,60.5,,2025-01-12,2025-01-12 05:44:23,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.37,23370.0,234.996,28.088,59.5,,2025-01-03,2025-01-03 08:30:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.56,23135.0,223.007,29.488,59.05,,2024-12-28,2024-12-28 09:22:19,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.26,22912.0,116.999,18.692,59.3,,2024-12-23,2024-12-23 06:56:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.46,22795.0,100.005,18.299,60.5,,2024-12-16,2024-12-23 06:56:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.17,22695.0,106.007,20.513,60.5,,2024-12-11,2024-12-11 08:42:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.86,22589.0,125.996,21.49,59.2,,2024-12-02,2024-12-02 06:39:00,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.3,22463.0,169.995,23.28,58.05,,2024-11-25,2024-11-25 07:50:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.33,22293.0,133.994,21.183,57.35,,2024-11-17,2024-11-17 11:30:04,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.45,22159.0,211.001,28.319,56.2,,2024-11-10,2024-11-10 12:12:36,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.53,21948.0,166.004,25.427,57.25,,2024-11-03,2024-11-03 09:36:05,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.29,21782.0,80.998,15.301,57.3,,2024-10-27,2024-10-27 07:24:32,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.52,21701.0,157.008,24.094,57.8,,2024-10-21,2024-10-21 06:35:42,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.17,21544.0,189.999,23.265,57.5,,2024-10-13,2024-10-13 09:50:10,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.65,21354.0,153,23.012,57.55,,2024-10-07,2024-10-07 07:40:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.67,21201.0,73,12.874,56.5,,2024-09-29,2024-09-29 07:18:37,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.14,21128.0,163.992,26.721,56,,2024-09-23,2024-09-23 11:11:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.28,20964.0,192.993,26.517,56.4,,2024-09-15,2024-09-15 09:12:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.95,20771.0,189.999,31.949,58,,2024-09-07,2024-09-07 09:32:35,"","",0,0,,,""
"Geely Coolray","Geely Coolray",12.36,20581.0,415.999,33.649,60.4,,2024-08-31,2024-08-31 08:52:27,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.98,20165.0,175.998,19.59,60.55,,2024-08-18,2024-08-18 09:24:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.61,19989.0,84.008,12.708,59.44,,2024-08-15,2024-08-15 22:49:24,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.5,19905.0,197.998,26.396,60.7,,2024-08-11,2024-08-11 05:30:50,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.3,19707.0,138.999,22.058,63.55,,2024-08-04,2024-08-04 09:22:06,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.74,19568.0,184.994,27.44,69.95,,2024-07-29,2024-07-29 11:16:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.94,19383.0,118.995,20.021,64.2,,2024-07-21,2024-07-21 05:22:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.95,19264.0,118.995,17.11,64.7,,2024-07-14,2024-07-14 08:18:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.94,19145.0,190.997,27.531,63.1,,2024-07-07,2024-07-07 11:22:11,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.44,18954.0,162.994,21.906,62.65,,2024-06-30,2024-06-30 08:57:19,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.95,18791.0,153,25.729,60.55,,2024-06-23,2024-06-23 12:06:49,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.22,18638.0,135.008,16.425,60.404,,2024-06-17,2024-06-17 08:20:46,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.06,18503.0,204,28.909,60.2,,2024-06-09,2024-06-09 18:34:38,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.29,18299.0,184.994,29.39,61.1,,2024-06-01,2024-06-01 22:33:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.96,18114.0,186.008,23.371,61.5,,2024-05-26,2024-05-26 05:34:45,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.76,17928.0,143.006,21.145,63.95,,2024-05-19,2024-05-19 10:34:14,"","",0,0,,,""
"Geely Coolray","Geely Coolray",10.68,17785.0,284.001,26.589,61.6,,2024-05-15,2024-05-15 08:09:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.55,17501.0,116.999,17.86,64.25,,2024-05-10,2024-05-10 23:02:18,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.32,17384.0,138.999,21.982,64.35,,2024-05-06,2024-05-06 08:14:38,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.79,17245.0,182.999,26.948,64.35,,2024-04-30,2024-04-30 08:48:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.24,17062.0,167.999,23.212,66.4,,2024-04-21,2024-04-21 12:40:59,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.47,16894.0,190.997,22.538,66.1,,2024-04-14,2024-04-14 07:53:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.47,16703.0,184.994,28.603,65.1,,2024-04-09,2024-04-09 08:10:17,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.25,16518.0,116.999,16.13,64,,2024-04-02,2024-04-02 07:45:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.25,16401.0,155.994,24.961,64.55,,2024-03-27,2024-03-27 09:08:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.01,16245.0,129.005,21.478,62.25,,2024-03-17,2024-03-17 02:41:16,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.68,16116.0,106.007,15.868,61.85,,2024-03-10,2024-03-10 01:47:21,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.12,16010.0,100.005,16.342,62.25,,2024-03-03,2024-03-03 13:40:47,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.62,15910.0,88.997,13.434,62.85,,2024-02-25,2024-02-25 13:04:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.79,15821.0,208.008,26.706,63.55,,2024-02-18,2024-02-18 15:22:25,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.39,15613.0,124.998,19.552,64.1,,2024-02-08,2024-02-08 09:44:59,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.75,15488.0,77.007,13.4,60.6,,2024-01-28,2024-01-28 14:24:30,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.56,15411.0,71.004,15.581,59.25,,2024-01-22,2024-01-22 10:56:57,"","",0,0,,,""
"Geely Coolray","Geely Coolray",14.64,15340.0,65.001,4.44,58.8,,2024-01-14,2024-01-14 06:12:34,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.53,15275.0,163.992,29.67,62.15,,2024-01-08,2024-01-08 08:13:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.31,15111.0,233.999,28.148,60.65,,2023-12-31,2023-12-31 06:20:41,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.82,14877.0,146.997,30.499,60.2,,2023-12-24,2023-12-24 04:19:01,"","",0,0,,,""
"Geely Coolray","Geely Coolray",9.35,14730.0,183.996,19.669,60.65,,2023-12-14,2023-12-14 06:37:22,"","",0,0,,,""
"Geely Coolray","Geely Coolray",3.35,14546.0,101.002,30.177,61.95,,2023-12-03,2023-12-03 11:02:08,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.31,14445.0,102,19.226,64.2,,2023-11-26,2023-11-26 07:36:44,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.53,14343.0,67.995,12.295,64.95,,2023-11-20,2023-11-20 03:05:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.33,14275.0,129.005,20.381,62.95,,2023-11-12,2023-11-12 14:23:05,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.01,14146.0,182.001,25.979,63.4,,2023-11-05,2023-11-05 01:28:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.89,13964.0,74.995,15.335,65.65,,2023-10-29,2023-10-29 07:40:06,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.89,13889.0,145.002,21.043,63.55,,2023-10-22,2023-10-22 16:43:56,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.09,13744.0,150.007,24.62,64.15,,2023-10-15,2023-10-15 06:30:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.23,13594.0,108.003,20.653,67.2,,2023-10-08,2023-10-08 08:44:01,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.93,13486.0,122.004,20.57,69.55,,2023-10-01,2023-10-01 09:02:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.82,13364.0,114.006,16.72,69.75,,2023-09-24,2023-09-24 06:42:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.82,13250.0,180.005,23.015,68.09,,2023-09-16,2023-09-16 18:24:53,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.18,13070.0,165.006,20.169,67.79,,2023-09-15,2023-09-15 01:49:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.02,12905.0,138.999,27.702,68.2,,2023-09-09,2023-09-09 00:32:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.39,12766.0,138.001,21.588,67.7,,2023-09-03,2023-09-03 06:40:27,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.87,12628.0,102,14.846,70.45,,2023-08-27,2023-08-27 08:17:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.58,12526.0,101.002,15.35,66.3,50,2023-08-20,2023-08-20 10:14:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.16,12425.0,74.995,12.174,64.1,50,2023-08-13,2023-08-13 13:52:00,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.19,12350.0,153.998,24.889,63.9,50,2023-08-07,2023-08-07 07:45:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.73,12196.0,160.001,23.757,63.3,50,2023-07-31,2023-07-31 07:43:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.86,12036.0,133.994,22.849,60.2,50,2023-07-23,2023-07-23 04:21:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.39,11902.0,145.002,22.678,59.9,50,2023-07-16,2023-07-16 13:07:30,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.23,11757.0,147.995,20.475,60.8,50,2023-07-09,2023-07-09 12:36:10,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.82,11609.0,212.997,27.228,61.5,50,2023-07-02,2023-07-02 13:20:29,"","",0,0,,,""
"Geely Coolray","Geely Coolray",9.01,11396.0,135.008,14.99,58.75,50,2023-06-26,2023-06-26 04:56:25,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.03,11261.0,102,14.509,61.3,50,2023-06-25,2023-06-25 02:47:21,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.6,11159.0,155.994,27.88,59.1,50,2023-06-18,2023-06-18 05:02:55,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.18,11003.0,184.994,25.752,63.87,50,2023-06-11,2023-06-11 10:22:26,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.94,10818.0,118.995,17.152,61.29,50,2023-06-04,2023-06-04 10:00:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.56,10699.0,211.001,27.914,61.46,50,2023-05-28,2023-05-28 11:12:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.76,10488.0,174.002,25.756,60.66,50,2023-05-20,2023-05-20 14:37:18,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.89,10314.0,173.004,25.097,60.21,50,2023-05-13,2023-05-13 16:45:48,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.43,10141.0,99.007,18.231,62.2,50,2023-05-07,2023-05-07 04:40:35,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.99,10042.0,160.001,26.691,62.2,50,2023-05-02,2023-05-02 05:26:16,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.9,9882.0,169.995,21.528,67.15,50,2023-04-23,2023-04-23 09:34:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.84,9712.0,64.004,10.966,64.95,50,2023-04-16,2023-04-16 09:12:53,"","",0,0,,,""
"Geely Coolray","Geely Coolray",15.63,9648.0,117.997,7.548,64.8,50,2023-04-12,2023-04-12 07:23:12,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.94,9530.0,163.992,33.228,62.45,50,2023-04-03,2023-04-03 04:59:02,"","",0,0,,,""
"Geely Coolray","Geely Coolray",11.68,9366.0,252.007,21.581,62.5,50,2023-03-28,2023-03-28 07:31:43,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.25,9114.0,58.001,11.05,62,50,2023-03-22,2023-03-22 19:16:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.41,9056.0,88.997,16.448,64.5,50,2023-03-19,2023-03-19 07:08:56,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.63,8967.0,165.006,24.9,62.5,50,2023-03-12,2023-03-12 13:11:55,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.3,8802.0,96.995,15.407,62.1,50,2023-03-05,2023-03-05 10:37:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.77,8705.0,138.001,20.396,65.6,50,2023-02-26,2023-02-26 13:26:22,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.37,8567.0,168.997,26.521,64.7,50,2023-02-19,2023-02-19 14:13:12,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.37,8398.0,179.007,24.295,64.25,50,2023-02-12,2023-02-12 09:14:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.86,8219.0,92.006,13.419,67.75,50,2023-02-04,2023-02-04 07:40:44,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.91,8127.0,80,11.572,66.55,50,2023-01-28,2023-01-28 12:20:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.16,8047.0,129.005,25.014,63.85,50,2023-01-22,2023-01-22 11:37:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.48,7918.0,128.007,19.767,63.7,50,2023-01-13,2023-01-13 12:04:30,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.18,7790.0,151.005,24.427,64.45,50,2023-01-08,2023-01-08 07:50:23,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.62,7639.0,168.997,22.186,61.85,50,2022-12-31,2022-12-31 08:22:37,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.81,7470.0,168.997,29.072,60.6,50,2022-12-23,2022-12-23 15:54:44,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.87,7301.0,153.998,31.608,64.6,50,2022-12-17,2022-12-17 07:04:32,"","",0,0,,,""
"Geely Coolray","Geely Coolray",11.32,7147.0,282.005,24.904,65.5,50,2022-12-10,2022-12-10 08:09:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.23,6865.0,140.995,26.941,61.6,50,2022-12-06,2022-12-06 16:35:52,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.97,6724.0,218.002,31.29,68.25,50,2022-12-01,2022-12-01 11:19:58,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.63,6506.0,159.003,28.266,68.3,50,2022-11-26,2022-11-26 07:37:32,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.84,6347.0,176.996,30.302,68.5,50,2022-11-19,2022-11-19 02:56:12,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.06,6170.0,189.001,26.759,67.6,50,2022-11-13,2022-11-13 07:28:48,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.76,5981.0,184.994,27.369,66.2,50,2022-11-06,2022-11-06 10:36:07,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.35,5796.0,132.996,20.948,66.45,50,2022-10-30,2022-11-06 10:34:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.71,5663.0,189.001,28.148,66.8,50,2022-10-23,2022-10-23 08:25:50,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.14,5474.0,146,23.78,66.7,50,2022-10-16,2022-10-16 06:44:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.62,5328.0,163.992,24.764,72.78,50,2022-10-09,2022-10-13 06:04:36,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.18,5164.0,96.995,15.706,73.08,50,2022-10-01,2022-10-01 12:11:56,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.53,5067.0,152.003,23.28,74.73,50,2022-09-25,2022-09-25 12:45:26,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.31,4915.0,138.999,22.031,76,50,2022-09-18,2022-09-18 02:21:50,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.25,4776.0,109.001,15.028,76.85,50,2022-09-11,2022-09-11 05:42:25,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.21,4667.0,141.992,22.875,77.78,50,2022-09-04,2022-09-04 09:54:57,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.59,4525.0,80.998,12.299,78.05,50,2022-08-27,2022-08-27 07:36:20,"","",0,0,,,""
"Geely Coolray","Geely Coolray",13.61,4444.0,316.992,23.299,77.35,50,2022-08-21,2022-08-21 06:27:55,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.73,4127.0,111.994,19.533,75.68,50,2022-08-18,2022-08-18 21:21:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.55,4015.0,167.002,25.48,75.63,50,2022-08-13,2022-08-13 13:10:28,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.87,3848.0,154.996,26.388,77.73,50,2022-08-06,2022-08-13 13:10:02,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7,3693.0,124.998,17.867,78.65,50,2022-07-30,2022-08-13 13:12:49,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.08,3568.0,226,27.967,80.09,50,2022-07-23,2022-08-13 13:13:53,"","",0,0,,,""
"Geely Coolray","Geely Coolray",4.92,3342.0,147.995,30.083,85.09,50,2022-07-15,2022-07-16 05:53:02,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.85,3194.0,146,21.323,89.75,50,2022-07-09,2022-07-09 10:06:31,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.48,3048.0,100.005,15.429,90.89,50,2022-07-02,2022-07-02 02:13:38,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.84,2948.0,144.004,21.039,90.29,50,2022-06-25,2022-06-26 05:25:21,"","",0,0,,,""
"Geely Coolray","Geely Coolray",5.81,2804.0,167.002,28.762,89.46,50,2022-06-19,2022-06-19 06:18:40,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.22,2637.0,190.997,30.726,87.34,50,2022-06-12,2022-06-16 14:39:28,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.66,2446.0,103.996,23.621,85.1,50,2022-06-04,2022-06-04 08:51:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",0,2342.0,130.003,11.523,86.8,50,2022-05-29,2022-05-29 06:38:06,"","",0,1,,,""
"Geely Coolray","Geely Coolray",12.38,2212.0,245.007,19.79,82.49,50,2022-05-22,2022-05-22 08:15:33,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.08,1967.0,144.004,23.67,82.49,50,2022-05-21,2022-05-21 10:25:54,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.1,1823.0,160.001,22.535,82.89,50,2022-05-14,2022-05-14 06:08:31,"","",0,0,,,""
"Geely Coolray","Geely Coolray",8.32,1663.0,186.008,31.109,78.69,50,2022-05-08,2022-05-08 01:51:18,"","",0,0,,,""
"Geely Coolray","Geely Coolray",0,1477.0,124.998,6.272,79.7,50,2022-05-01,2022-05-01 05:12:42,"","",0,1,,,""
"Geely Coolray","Geely Coolray",6.04,1352.0,172.007,28.481,79.7,50,2022-04-30,2022-04-30 07:32:03,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.87,1180.0,179.007,26.07,76.7,50,2022-04-23,2022-04-23 02:58:42,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.64,1001.0,191.995,25.139,76.25,50,2022-04-16,2022-04-16 06:13:02,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.05,809.0,173.004,28.606,76.89,50,2022-04-09,2022-04-09 08:54:25,"","",0,0,,,""
"Geely Coolray","Geely Coolray",6.44,636.0,145.002,22.512,79.19,50,2022-04-03,2022-04-03 04:00:23,"","",0,0,,,""
"Geely Coolray","Geely Coolray",9.42,491.0,287.992,30.56,75.79,50,2022-03-28,2022-03-28 06:06:32,"","",0,0,,,""
"Geely Coolray","Geely Coolray",7.19,203.0,133.994,18.632,75.79,50,2022-03-22,2022-03-22 06:20:55,"","",0,0,,,""
"Geely Coolray","Geely Coolray",0.36,69.0,12.006,33.304,81.6,50,2022-03-19,2022-03-19 17:16:13,"","",0,0,,,""
"Geely Coolray","Geely Coolray",0,57.0,0,12.723,78.61,50,2022-03-19,2022-03-19 09:48:30,"","",0,1,,,""
